Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Lag_1,Lag_2,Lag_3,MA_7,MA_30,STD_7,Price_Range,Volatility_7,RSI_14
2018-03-19,315.799988,317.0,307.339996,313.480011,313.480011,9925200,-0.01560684821076419,-0.0157299172252778,318.450012,321.089996,321.549988,320.45571457142853,291.2646663,5.724035819919406,9.660004000000015,0.025556483198205655,62.91362922868081
2018-03-20,313.26001,319.5,312.799988,317.5,317.5,5991900,0.012823749071515733,0.012742221058125187,313.480011,318.450012,321.089996,318.4642857142857,293.37266646666666,3.079736797984939,6.700012000000015,0.017170826285837718,64.22658842041538
2018-03-21,316.350006,319.399994,314.51001,316.480011,316.480011,5263900,-0.0032125637795276107,-0.0032177351410690638,317.5,313.480011,318.450012,317.7757175714286,295.0646668,2.8718730399694175,4.88998399999997,0.013319348713133953,64.20560687821106
2018-03-22,313.070007,314.119995,305.660004,306.700012,306.700012,8063300,-0.030902422459786805,-0.03138997294529022,316.480011,317.5,313.480011,316.46428999999995,296.4693339333333,5.1075852150175916,8.459991000000002,0.016574513192410236,53.10611715564441
2018-03-23,307.410004,309.369995,300.359985,300.940002,300.940002,9529900,-0.018780599199976655,-0.018959194269812102,306.700012,316.480011,317.5,313.5200062857143,298.1640004666667,7.199329922526111,9.010010000000023,0.014058940115598856,41.50555411175464
2018-03-26,309.359985,321.029999,302.0,320.350006,320.350006,11988300,0.06449791942249017,0.06250325083797006,300.940002,306.700012,316.480011,313.4142934285714,300.52666729999993,7.073990309175738,19.029998999999975,0.0315001175846626,47.351822949856704
2018-03-27,322.48999,322.899994,297.0,300.690002,300.690002,12068600,-0.061370387487990286,-0.06333432645829198,320.350006,300.940002,306.700012,310.8771491428571,301.9513336333333,8.080196535447309,25.899993999999992,0.03928061830035771,40.483491402200265
2018-03-28,298.390015,298.799988,281.609985,285.769989,285.769989,18972900,-0.04961925205614248,-0.050892587372007386,300.690002,320.350006,300.940002,306.91857457142856,302.8680003,12.285763227122569,17.19000299999999,0.042427097834412314,36.80161452500448
2018-03-29,287.0,295.350006,275.899994,295.350006,295.350006,19145500,0.0335235237035334,0.032973861083878994,285.769989,300.690002,320.350006,303.75428971428573,303.8463338333333,11.954191681365169,19.450012000000015,0.04511185060956714,34.09431391536053
2018-04-02,291.940002,292.869995,275.049988,280.290009,280.290009,13405800,-0.05099033923838825,-0.05233630048555049,295.350006,285.769989,300.690002,298.5842894285714,303.8470011666667,13.284968693013116,17.820007000000032,0.04756569739047869,32.6772023629474
2018-04-03,285.450012,291.25,278.01001,283.670013,283.670013,12694900,0.012058952839806736,0.011986822962862851,280.290009,295.350006,285.769989,295.2942895714286,304.0186686333334,13.782503123873347,13.239989999999977,0.04812601011766413,36.15576554784422
2018-04-04,273.630005,290.309998,271.220001,288.940002,288.940002,12914000,0.01857788542492167,0.018407424477650654,283.670013,280.290009,295.350006,293.58000385714286,304.36500243333336,13.709338832223853,19.089996999999983,0.04906484551571753,35.93548337344835
2018-04-05,293.149994,299.160004,289.109985,293.970001,293.970001,10655200,0.01740845492207077,0.01725866369445702,288.940002,283.670013,280.290009,289.81143171428573,304.79600216666665,7.208559245458924,10.05001900000002,0.04046014210395523,38.746889948107
2018-04-06,289.100006,298.850006,285.649994,288.850006,288.850006,11444800,-0.01741672613730416,-0.017570181718243223,293.970001,288.940002,283.670013,288.1200037142857,305.15300186666667,5.390338665308545,13.200012000000015,0.034382616383782656,37.965521388394755
2018-04-09,291.769989,299.549988,289.119995,289.929993,289.929993,9853600,0.00373891977693086,0.0037319473904399306,288.850006,293.970001,288.940002,288.71429,305.28633520000005,5.316887627983868,10.429992999999968,0.028266496690134556,40.11251205348938
2018-04-10,297.679993,298.950012,291.690002,298.070007,298.070007,10660500,0.02807579138595684,0.027688891344410424,289.929993,288.850006,293.970001,289.10286157142855,305.41666863333336,5.944963736646099,7.2600100000000225,0.027326600461860636,42.1150922456218
2018-04-11,302.880005,311.640015,301.820007,303.670013,303.670013,14877400,0.01878755281808675,0.01861324655548669,298.070007,289.929993,288.850006,292.44286214285717,305.8520029,6.689567332264709,9.82000800000003,0.014773394615593152,44.987872998363144
2018-04-12,309.720001,311.130005,306.75,309.25,309.25,10249400,0.018375166335571125,0.018208382982958758,303.670013,298.070007,289.929993,296.097146,306.44766939999994,7.9639011991932955,4.380004999999983,0.014996980315217122,51.03163179203473
2018-04-13,317.290009,317.48999,308.230011,311.649994,311.649994,12046600,0.007760691996766322,0.007730732729895647,309.25,303.670013,298.070007,299.3414305714286,307.1563353666667,9.106142870562524,9.259978999999987,0.014823440357810375,54.45395953971891
2018-04-16,315.98999,316.100006,304.0,307.779999,307.779999,20307900,-0.012417760547109191,-0.012495505215861387,311.649994,309.25,303.670013,301.3142874285714,307.38066906666666,9.243403594870765,12.100006000000008,0.01681438475977623,43.996557990289816
2018-04-17,329.660004,338.619995,323.769989,336.059998,336.059998,33866500,0.09188381016272618,0.08790447071184622,307.779999,311.649994,309.25,308.05857199999997,308.082669,14.411520455443595,14.850006000000008,0.03332725243902319,65.60762388518661
2018-04-18,336.299988,338.820007,331.100006,334.519989,334.519989,11221100,-0.004582541835282616,-0.00459307386808995,336.059998,307.779999,311.649994,314.42857142857144,308.39266860000004,14.909026880130213,7.720000999999968,0.034236304252679324,74.39207640484949
